,netapp_ontap.system_node,storage.name,LOB,model,Installed_Version,node_version,cluster_name,node_version_install_time_without_timezone,current_date,days_passed_last_ontap_upgrade,Target Golden Image,Target Golden Image-1,Target Golden Image-2,OS_Compliance,OS_Compliance-1
1081,stnpa3-02-st056,stnpca3-st056,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st056,2022-09-10 22:40:00,2023-04-17 16:26:00,218.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1082,stnpa3-02-st057,stnpca3-st057,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st057,2022-11-05 22:06:00,2023-04-17 16:26:00,162.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1083,stnpa3-02-st059,stnpca3-st059,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st059,2023-03-03 22:27:00,2023-04-17 16:26:00,44.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1084,stnpa3-02-st060,stnpca3-st060,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st060,2023-02-24 22:23:00,2023-04-17 16:26:00,51.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1085,stnpa3-02-st062,stnpca3,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3,2022-09-24 22:11:00,2023-04-17 16:26:00,204.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1086,stnpa3-02-st064,stnpca3-st064,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st064,2022-09-06 12:15:00,2023-04-17 16:26:00,223.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1087,stnpa3-02-st065,stnpca3-st065,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st065,2022-11-05 22:05:00,2023-04-17 16:26:00,162.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1088,stnpa3-02-st068,stnpca3-st068,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st068,2023-01-07 05:14:00,2023-04-17 16:26:00,100.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1089,stnpa3-02-st069,stnpca3-st069,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st069,2023-02-07 04:07:00,2023-04-17 16:26:00,69.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1090,stnpa3-02-st070,stnpca3-st070,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st070,2022-09-06 22:22:00,2023-04-17 16:26:00,222.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
