netapp_ontap.system_node,node_version_install_time,node_version,cluster_name
hec01f0083,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0084,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0087,20 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc002
hec01f0088,20 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc002
hec01f0091,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0092,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0093,17 Nov 2022 18:57 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc009
hec01f0094,17 Nov 2022 18:57 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc009
hec01f0097,20 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc002
hec01f0098,20 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc002
hec01f0099,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0100,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0101,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0102,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0501,3 Oct 2022 18:36 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc051
hec01f0502,3 Oct 2022 18:36 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc051
hec01f0503,6 Sep 2022 18:24 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc052
hec01f0504,6 Sep 2022 18:24 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc052
hec01f0505,13 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc053
hec01f0506,13 Sep 2022 18:29 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc053
hec01f0507,8 Sep 2022 18:16 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc054
hec01f0508,8 Sep 2022 18:17 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc054
hec02f0009,1 Aug 2022 22:08 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc002
hec02f0010,1 Aug 2022 22:08 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc002
hec02f0011,5 Oct 2022 18:59 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc001
hec02f0012,5 Oct 2022 18:59 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc001
hec02f0017,29 Sep 2022 19:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc005
hec02f0018,29 Sep 2022 19:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc005
hec02f0019,29 Sep 2022 19:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc005
hec02f0020,29 Sep 2022 19:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc005
hec02f0021,5 Oct 2022 18:59 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc001
hec02f0022,5 Oct 2022 18:59 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc001
hec02f0023,4 Apr 2023 18:26 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,hec02fc003
hec02f0024,4 Apr 2023 18:26 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,hec02fc003
hec02f0501,9 Sep 2022 18:54 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc051
hec02f0502,9 Sep 2022 18:54 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc051
hec02f0503,6 Oct 2022 18:33 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc052
hec02f0504,6 Oct 2022 18:33 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec02fc052
hec03f0031,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0032,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0033,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0034,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0035,27 Sep 2022 04:19 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc005
hec03f0036,27 Sep 2022 04:19 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc005
hec03f0037,27 Sep 2022 04:19 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc005
hec03f0038,27 Sep 2022 04:19 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc005
hec03f0039,7 Sep 2022 04:10 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc002
hec03f0040,7 Sep 2022 04:10 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc002
hec03f0041,22 Sep 2022 04:15 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc006
hec03f0042,22 Sep 2022 04:16 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc006
hec03f0043,22 Sep 2022 04:16 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc006
hec03f0044,22 Sep 2022 04:16 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc006
hec03f0045,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0046,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0047,27 Sep 2022 04:19 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc005
hec03f0048,27 Sep 2022 04:19 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc005
hec03f0049,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0050,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0051,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0052,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0053,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0054,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0055,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0056,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0057,7 Sep 2022 04:10 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc002
hec03f0058,7 Sep 2022 04:10 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc002
hec03f0059,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0060,20 Sep 2022 04:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc004
hec03f0061,15 Nov 2022 04:58 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc003
hec03f0062,15 Nov 2022 04:58 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc003
hec03f0063,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0064,17 Nov 2022 05:45 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc001
hec03f0501,29 Aug 2022 05:00 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc051
hec03f0502,29 Aug 2022 05:01 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec03fc051
hec04f0013,21 Sep 2022 04:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0014,21 Sep 2022 04:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0015,21 Sep 2022 04:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0016,21 Sep 2022 04:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0021,2 Sep 2022 06:00 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc004
hec04f0022,2 Sep 2022 06:00 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc004
hec04f0023,21 Sep 2022 04:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0024,21 Sep 2022 04:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0025,16 Nov 2022 04:43 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc002
hec04f0026,16 Nov 2022 04:44 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc002
hec04f0027,15 Dec 2022 13:11 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc003
hec04f0028,15 Dec 2022 13:11 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc003
hec04f0029,13 Dec 2022 14:11 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc004
hec04f0030,13 Dec 2022 14:11 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc004
hec04f0031,14 Dec 2022 13:26 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0032,14 Dec 2022 13:26 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0033,14 Dec 2022 15:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0034,14 Dec 2022 15:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc001
hec04f0501,31 Aug 2022 05:07 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc051
hec04f0502,31 Aug 2022 05:08 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec04fc051
hec05f0011,12 Sep 2022 15:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc001
hec05f0012,12 Sep 2022 15:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc001
hec05f0013,12 Sep 2022 15:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc001
hec05f0014,12 Sep 2022 15:14 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc001
hec05f0015,1 Sep 2022 15:29 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc003
hec05f0016,1 Sep 2022 15:29 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc003
hec05f0501,28 Jul 2022 15:21 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc051
hec05f0502,28 Jul 2022 15:22 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec05fc051
hec06f0009,31 Aug 2022 15:27 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc001
hec06f0010,31 Aug 2022 15:27 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc001
hec06f0011,31 Aug 2022 15:27 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc001
hec06f0012,31 Aug 2022 15:27 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc001
hec06f0013,2 Sep 2022 15:32 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc003
hec06f0014,2 Sep 2022 15:32 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc003
hec06f0015,31 Aug 2022 15:27 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc001
hec06f0016,31 Aug 2022 15:27 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc001
hec06f0501,24 Aug 2022 15:29 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc051
hec06f0502,24 Aug 2022 15:30 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec06fc051
hec07f0011,23 Aug 2022 15:23 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc001
hec07f0012,23 Aug 2022 15:23 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc001
hec07f0013,23 Aug 2022 15:23 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc001
hec07f0014,23 Aug 2022 15:23 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc001
hec07f0015,18 Aug 2022 15:47 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc003
hec07f0016,18 Aug 2022 15:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc003
hec07f0017,23 Aug 2022 15:23 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec07fc001
